id,complaint_id,raw_text,address,ward_name,ward_id,zone,category,urgency_score,status,officer_id,department,filed_date,resolved_date,resolution_days,is_fake_resolution,is_affluent_ward,source,predicted_category,confidence,ai_urgency_score,latitude,longitude
1.0,SYNF8B3F1,Stormwater drain on Sarjapur Road has no cover. Open drain is dangerous especially for children and two wheeler riders. Covered only 2 years ago but cover missing again.,"46, Sarjapur Road, Kadubeesanahalli, Bengaluru",Kadubeesanahalli,87.0,East,Road,90.0,open,,Engineering,2026-03-03 12:55:24,,,False,False,synthetic,,,,,
2.0,SYNB4D108,Rajakaluve encroachment near vegetable market blocking natural drainage. Flooding in residential area every year. BBMP not taking action against encroachers.,"271, 3rd Block Main Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Drainage,98.0,open,,Engineering,2025-12-07 12:55:24,,,False,False,synthetic,,,,,
3.0,SYN8D6EE1,Road divider near church broken and lying on road. Sharp concrete pieces causing tyre punctures to passing vehicles. BBMP not responding to complaints.,"216, Bellary Road, Rajajinagar, Bengaluru",Rajajinagar,67.0,West,Road,49.0,open,,Engineering,2026-02-21 12:55:24,,,False,False,synthetic,,,,,
4.0,SYN217CA7,Large pothole on Mysore Road near bus stop causing accidents and vehicle damage for past 46 days. Three two-wheelers have already fallen. No action from BBMP despite multiple complaints.,"267, Mysore Road, Rajarajeswari Nagar, Bengaluru",Rajarajeswari Nagar,155.0,West,Road,73.0,resolved,OFF884,Engineering,2025-11-24 12:55:24,2025-12-18 12:55:24,24.0,False,False,synthetic,,,,,
5.0,SYN569D9B,Unauthorized event hall near Indiranagar conducting events with loud music on weeknights. No permission from BBMP. Residents unable to sleep.,"127, 1st Main Road, Indiranagar, Bengaluru",Indiranagar,80.0,East,Noise,13.0,resolved,OFF772,Health,2025-12-28 12:55:24,2026-01-04 12:55:24,7.0,False,True,synthetic,,,,,
6.0,SYNAD2C83,Unauthorized event hall near Malleswaram conducting events with loud music on weeknights. No permission from BBMP. Residents unable to sleep.,"37, Hosur Road, Malleswaram, Bengaluru",Malleswaram,44.0,West,Noise,37.0,resolved,OFF494,Health,2026-01-12 12:55:24,2026-01-17 12:55:24,5.0,False,True,synthetic,,,,,
7.0,SYN27E12C,Construction work on Tumkur Road blocked the drainage channel. Water now entering our housing society during rains. Builder not restoring drainage despite notices.,"250, Tumkur Road, Jayanagar, Bengaluru",Jayanagar,172.0,South,Drainage,43.0,resolved,OFF107,Engineering,2026-01-06 12:55:24,2026-01-15 12:55:24,9.0,False,True,synthetic,,,,,
8.0,SYN08E10C,Open garbage dumping happening near Brigade Road by outsiders. BBMP has not put up any fencing or signboard. Area turning into permanent garbage dump.,"14, Brigade Road, Nagawara, Bengaluru",Nagawara,24.0,North,Sanitation,13.0,resolved,OFF853,SWM,2026-02-23 12:55:24,2026-03-20 12:55:24,25.0,True,False,synthetic,,,,,
9.0,SYN70141E,Construction work near Marathahalli happening at night beyond 10 PM for past 43 days. Builder ignoring BBMP rules. Residents unable to sleep. Children and sick people affected.,"48, Bellary Road, Marathahalli, Bengaluru",Marathahalli,85.0,East,Noise,27.0,open,,Health,2026-01-01 12:55:24,,,False,False,synthetic,,,,,
10.0,SYNAD690D,Drainage blocked near Banashankari. Water stagnation on road and footpath for past 15 days after each rain. Mosquito breeding risk. Residents using alternate routes.,"19, Tumkur Road, Banashankari, Bengaluru",Banashankari,165.0,South,Drainage,61.0,resolved,OFF468,Engineering,2026-03-08 12:55:24,2026-05-04 12:55:24,57.0,False,False,synthetic,,,,,
11.0,SYN95190B,Footpath near Hennur Road completely encroached by permanent vendor stalls. Pedestrians forced to walk on road. BBMP inspection team visited but no action taken.,"252, Hennur Road, Yelahanka, Bengaluru",Yelahanka,5.0,North,Encroachment,28.0,resolved,OFF811,Town Planning,2026-01-05 12:55:24,2026-07-19 12:55:24,195.0,False,False,synthetic,,,,,
